"","SubjectTag","CASEID","S00_H40"
"745",74500,745,43.1380574742048
"746",74600,746,49.0598618572525
"747",74700,747,35.8211818879509
"748",74800,748,70.7913306451613
"749",74900,749,NA
"750",75000,750,38.2371471774194
"751",75100,751,64.5113839856741
"752",75200,752,92.6963417753901
"753",75300,753,43.1461584377931
"754",75400,754,NA
"755",75500,755,61.7229470452801
"756",75600,756,40.3351814516129
"757",75700,757,80.1285282258064
"758",75800,758,49.3178135925642
"759",75900,759,31.5977822580645
"760",76000,760,NA
"761",76100,761,36.3592564168159
"762",76200,762,42.5364543361474
"763",76300,763,33.9969758064516
"764",76400,764,40.7329240214889
"765",76500,765,NA
"766",76600,766,51.3390456989247
"767",76700,767,NA
"768",76800,768,52.0854334677419
"769",76900,769,58.1182795698925
"770",77000,770,14.3712197580645
"771",77100,771,NA
"772",77200,772,37.065319348512
"773",77300,773,NA
"774",77400,774,49.5245295698925
"775",77500,775,83.5836693548387
"776",77600,776,86.4415451522128
"777",77700,777,74.051593323217
"778",77800,778,62.6247122026094
"779",77900,779,43.9997470915529
"780",78000,780,NA
"781",78100,781,NA
"782",78200,782,31.8649193548387
"783",78300,783,30.4937324123817
"784",78400,784,41.0217501264542
"785",78500,785,NA
"786",78600,786,NA
"787",78700,787,NA
"788",78800,788,NA
"789",78900,789,27.7235772357724
"790",79000,790,24.9117943548387
"791",79100,791,64.2299820926068
"792",79200,792,62.1942204301075
"793",79300,793,52.8966447479346
"794",79400,794,NA
"795",79500,795,NA
"796",79600,796,85.3645833333333
"797",79700,797,54.3094758064516
"798",79800,798,35.2967510872346
"799",79900,799,39.2767137096774
"800",80000,800,64.2555640828856
"801",80100,801,37.0892137096774
"802",80200,802,33.3228326612903
"803",80300,803,55.7030854830551
"804",80400,804,59.1418850806452
"805",80500,805,38.7651209677419
"806",80600,806,46.923765668969
"807",80700,807,80.2541729893778
"808",80800,808,NA
"809",80900,809,87.4435064381342
"810",81000,810,88.1720430107527
"811",81100,811,52.286603564424
"812",81200,812,87.6183167050397
"813",81300,813,50.8988575268817
"814",81400,814,51.3541666666667
"815",81500,815,47.5033602150538
"816",81600,816,78.3014112903226
"817",81700,817,74.7605846774193
"818",81800,818,70.7896505376344
"819",81900,819,50.9639616935484
"820",82000,820,81.0693271936557
"821",82100,821,80.2083333333333
"822",82200,822,52.0001680107527
"823",82300,823,42.677155282681
"824",82400,824,NA
"825",82500,825,67.7326948924731
"826",82600,826,85.5874840357599
"827",82700,827,83.4618615591398
"828",82800,828,68.5168850806452
"829",82900,829,91.7156988147011
"830",83000,830,45.3973454301075
"831",83100,831,NA
"832",83200,832,21.6292842741935
"833",83300,833,31.6343245967742
"834",83400,834,30.5661962365591
"835",83500,835,60.4758250191865
"836",83600,836,25.1151189562548
"837",83700,837,NA
